sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Shandong,Shandong,7,117.020359,36.66853,Ciprofloxacin,Fluoroquinolones,58.968191489361715,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Doxycycline,Tetracyclines,9.009276595744682,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Enrofloxacin,Fluoroquinolones,8.764106382978724,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Levofloxacin,Fluoroquinolones,13.699042553191488,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Norfloxacin,Fluoroquinolones,0.38338297872340427,ng/g,2015,125
sediment,Shandong,Shandong,7,117.020359,36.66853,Sulfamethoxazole,Sulfonamides,0.16131914893617022,ng/g,2015,125
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Chlortetracycline,Tetracyclines,0.6,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Ciprofloxacin,Fluoroquinolones,0.8499999999999999,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Doxycycline,Tetracyclines,1,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Norfloxacin,Fluoroquinolones,1.4,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Oxytetracycline,Tetracyclines,12.3,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Roxithromycin,Macrolides,0.9,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Sulfadimethoxine,Sulfonamides,0.3,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Sulfamethoxazole,Sulfonamides,0.5,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Sulfamonomethoxine,Sulfonamides,0.2,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,11,119.463619,37.022089,Tetracycline,Tetracyclines,0.6,ng/g,2017,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Chlortetracycline,Tetracyclines,11.2,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Ciprofloxacin,Fluoroquinolones,12.9,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Doxycycline,Tetracyclines,110.8,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Enrofloxacin,Fluoroquinolones,19.9,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Norfloxacin,Fluoroquinolones,15.1,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Ofloxacin,Fluoroquinolones,7.6,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Oxytetracycline,Tetracyclines,268.8,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Roxithromycin,Macrolides,2.5,ng/g,2013,120
sediment,Shandong,Shandong Bohai Sea and surrounding estuaries,8,119.5,37,Tetracycline,Tetracyclines,25.3,ng/g,2013,120
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Ciprofloxacin,Fluoroquinolones,1.41,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Enrofloxacin,Fluoroquinolones,0.18,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Flumequine,Fluoroquinolones,0.2,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Lomefloxacin,Fluoroquinolones,0.09,ng/g,2015,102
sediment,Shandong,Shandong Jiaozhou Bay,11,120.125,36.15,Ofloxacin,Fluoroquinolones,2.7,ng/g,2015,102
