dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,5.49,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.391833,39.010056,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,18.85,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,2.45,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,7.56,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.334583,39.291861,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,6.14,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,3.1,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethoxazole,SMX,4.72,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,7,Sulfonamides,Sulfamethizole,SMTZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,7,Sulfonamides,Sulfamethizole,SMTZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,7,Sulfonamides,Sulfamethizole,SMTZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,12,Sulfonamides,Sulfamethizole,SMTZ,4.78,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.391833,39.010056,sediments,2009,12,Sulfonamides,Sulfamethizole,SMTZ,10.49,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfamethizole,SMTZ,21.67,μg/kg
