sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
soil,Roxithromycin,macrolides,23,11,0.3,1.2600000000000002,14.3294117647059,0.9093991702311484
soil,Azithromycin,macrolides,12,8,11.34,11.34,11.34,0.6801143372654593
soil,Lomefloxacin,fluoroquinolones,15,7,1.5,7.4,20.33,0.6359931989374054
soil,Sulfadimidine,sulfonamides,12,11,0.0,38.923529411764704,42.9705882352941,0.5971751280844644
soil,Sulfathiazole,sulfonamides,12,11,0.0,4.4220000000000015,27.2,0.5971751280844644
soil,Sulfachloropyridazine,sulfonamides,14,6,1.435,3.7500000000000004,5.0,0.56271887766462
soil,Florfenicol,other,13,7,0.06,0.7520000000000001,4.0,0.5137531726932232
soil,Trimethoprim,sulfonamides,10,8,1.84,15.33,15.33,0.5003934649568899
soil,Sulfaquinoxaline,sulfonamides,11,7,1.22,1.22,2.02,0.4897836353065902
soil,Sulfamerazine,sulfonamides,12,7,0.145,12.420000000000003,16.0,0.48338530893026854
soil,Chloramphenicol,other,11,5,5.5,22.3,4600.0,0.47529799295094555
soil,Sulfameter,sulfonamides,7,5,38.98,51.4,51.4,0.4035917193744226
soil,Sarafloxacin,fluoroquinolones,12,5,0.06,0.06,0.06,0.390919836144151
soil,Danofloxacin,fluoroquinolones,11,5,0.22,0.22,0.22,0.36199854819352195
soil,Sulfaguanidine,sulfonamides,8,8,0.0,119.69999999999993,399.0,0.3333264841849244
soil,Sulfametoxydiazine,sulfonamides,8,8,0.0,1.3729999999999984,2.87333333333333,0.3333264841849244
soil,Difloxacin,fluoroquinolones,8,4,0.2185,2.7002317073170725,4.01,0.16845996676526348
soil,Erythromycin-H2O,macrolides,7,5,0.05,0.8500000000000005,1.75,0.15710311743288818
soil,Clarithromycin,macrolides,7,3,0.013,0.6154146341463412,0.7,0.03171357786917875
soil,Sulfachlorpyridazine,sulfonamides,3,3,20.9176470588235,20.9176470588235,20.9176470588235,-0.0929741985673177
soil,Ciprofloxacin,sulfonamides,6,2,0.45,0.75,0.9,-0.095369900503441
