sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
surface water,Guangxi,Guangxi,2018,,Trimethoprim (TMP),0.02,1.13,ng/L,N42
sediment,Liaoning,Liaoning,2013,,Sulfamonomethoxine (SMM),,7,ng/g (dw),N42
coastal water,Shandong,,2019,,Norfloxacin (NOR),4.98,48.31,ng/L,N42
surface water,Shandong,Shandong,2019,,Norfloxacin (NOR),4.98,48.31,ng/L,N42
sediment,Guangdong,"Pearl River, site Z1",2015,,Ciprofloxacin,242.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Ciprofloxacin,380.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Ciprofloxacin,210.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Ciprofloxacin,100.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Ciprofloxacin,57,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Ciprofloxacin,21.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Ciprofloxacin,20.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Ciprofloxacin,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Ciprofloxacin,23.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Ciprofloxacin,7.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Ciprofloxacin,349.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Ciprofloxacin,7.6,,ng/g (dw),N43
